delta_vertex,delta_vac,delta_virtual,delta_r1,delta_r2,delta_R,delta_1,delta_2
-0.13025231567641707,0.016253367166853463,-0.1139989485095636,-0.2378625453194832,0.16479352750765522,-0.07306901781182798,-0.00025065436113273987,-0.0003998154274903745
-0.13025231567641707,0.016253367166853463,-0.1139989485095636,-0.2378625453194832,0.16479352750765522,-0.07306901781182798,-0.00025065436113273987,-0.0003998154274903745
-0.13025231567641707,0.016253367166853463,-0.1139989485095636,-0.2378625453194832,0.16479352750765522,-0.07306901781182798,-0.00025065436113273987,-0.0003998154274903745
-0.13025231567641707,0.016253367166853463,-0.1139989485095636,-0.2378625453194832,0.16479352750765522,-0.07306901781182798,-0.00025065436113273987,-0.0003998154274903745
-0.13025231567641707,0.016253367166853463,-0.1139989485095636,-0.2378625453194832,0.16479352750765522,-0.07306901781182798,-0.00025065436113273987,-0.0003998154274903745
-0.13025231567641707,0.016253367166853463,-0.1139989485095636,-0.2378625453194832,0.16479352750765522,-0.07306901781182798,-0.00025065436113273987,-0.0003998154274903745
-0.15886361428857412,0.017954619161784525,-0.1409089951267896,-0.25960254274261985,0.19934077611643458,-0.060261766626185265,-0.0008421333462915762,-0.001078607620507538
-0.15886361428857412,0.017954619161784525,-0.1409089951267896,-0.25960254274261985,0.19934077611643458,-0.060261766626185265,-0.0008421333462915762,-0.001078607620507538
-0.15886361428857412,0.017954619161784525,-0.1409089951267896,-0.25960254274261985,0.19934077611643458,-0.060261766626185265,-0.0008421333462915762,-0.001078607620507538
-0.15886361428857412,0.017954619161784525,-0.1409089951267896,-0.25960254274261985,0.19934077611643458,-0.060261766626185265,-0.0008421333462915762,-0.001078607620507538
-0.15886361428857412,0.017954619161784525,-0.1409089951267896,-0.25960254274261985,0.19934077611643458,-0.060261766626185265,-0.0008421333462915762,-0.001078607620507538
-0.15886361428857412,0.017954619161784525,-0.1409089951267896,-0.25960254274261985,0.19934077611643458,-0.060261766626185265,-0.0008421333462915762,-0.001078607620507538
-0.15886361428857412,0.017954619161784525,-0.1409089951267896,-0.25960254274261985,0.19934077611643458,-0.060261766626185265,-0.0008421333462915762,-0.001078607620507538
-0.17312195439660624,0.018745656291496018,-0.15437629810511022,-0.2680659016513242,0.21267092004533414,-0.055394981605990073,-0.001746807756599996,-0.0017670844948575915
-0.17312195439660624,0.018745656291496018,-0.15437629810511022,-0.2680659016513242,0.21267092004533414,-0.055394981605990073,-0.001746807756599996,-0.0017670844948575915
-0.17312195439660624,0.018745656291496018,-0.15437629810511022,-0.2680659016513242,0.21267092004533414,-0.055394981605990073,-0.001746807756599996,-0.0017670844948575915
-0.17312195439660624,0.018745656291496018,-0.15437629810511022,-0.2680659016513242,0.21267092004533414,-0.055394981605990073,-0.001746807756599996,-0.0017670844948575915
-0.17312195439660624,0.018745656291496018,-0.15437629810511022,-0.2680659016513242,0.21267092004533414,-0.055394981605990073,-0.001746807756599996,-0.0017670844948575915
-0.17312195439660624,0.018745656291496018,-0.15437629810511022,-0.2680659016513242,0.21267092004533414,-0.055394981605990073,-0.001746807756599996,-0.0017670844948575915
-0.17312195439660624,0.018745656291496018,-0.15437629810511022,-0.2680659016513242,0.21267092004533414,-0.055394981605990073,-0.001746807756599996,-0.0017670844948575915
-0.17930757966201746,0.019078766222524888,-0.16022881343949258,-0.27111473566466815,0.2206738642259476,-0.05044087143872056,-0.002326553184107458,-0.00216881490081262
-0.17930757966201746,0.019078766222524888,-0.16022881343949258,-0.27111473566466815,0.2206738642259476,-0.05044087143872056,-0.002326553184107458,-0.00216881490081262
-0.17930757966201746,0.019078766222524888,-0.16022881343949258,-0.27111473566466815,0.2206738642259476,-0.05044087143872056,-0.002326553184107458,-0.00216881490081262
-0.17930757966201746,0.019078766222524888,-0.16022881343949258,-0.27111473566466815,0.2206738642259476,-0.05044087143872056,-0.002326553184107458,-0.00216881490081262
-0.17930757966201746,0.019078766222524888,-0.16022881343949258,-0.27111473566466815,0.2206738642259476,-0.05044087143872056,-0.002326553184107458,-0.00216881490081262
-0.17930757966201746,0.019078766222524888,-0.16022881343949258,-0.27111473566466815,0.2206738642259476,-0.05044087143872056,-0.002326553184107458,-0.00216881490081262
-0.17930757966201746,0.019078766222524888,-0.16022881343949258,-0.27111473566466815,0.2206738642259476,-0.05044087143872056,-0.002326553184107458,-0.00216881490081262
-0.17930757966201746,0.019078766222524888,-0.16022881343949258,-0.27111473566466815,0.2206738642259476,-0.05044087143872056,-0.002326553184107458,-0.00216881490081262
-0.18284479179147425,0.01926669912862351,-0.16357809266285075,-0.2726482416017434,0.2271828367777408,-0.0454654048240026,-0.0027255893099130436,-0.002431998941275202
-0.18284479179147425,0.01926669912862351,-0.16357809266285075,-0.2726482416017434,0.2271828367777408,-0.0454654048240026,-0.0027255893099130436,-0.002431998941275202
-0.18284479179147425,0.01926669912862351,-0.16357809266285075,-0.2726482416017434,0.2271828367777408,-0.0454654048240026,-0.0027255893099130436,-0.002431998941275202
-0.18284479179147425,0.01926669912862351,-0.16357809266285075,-0.2726482416017434,0.2271828367777408,-0.0454654048240026,-0.0027255893099130436,-0.002431998941275202
-0.18284479179147425,0.01926669912862351,-0.16357809266285075,-0.2726482416017434,0.2271828367777408,-0.0454654048240026,-0.0027255893099130436,-0.002431998941275202
-0.18284479179147425,0.01926669912862351,-0.16357809266285075,-0.2726482416017434,0.2271828367777408,-0.0454654048240026,-0.0027255893099130436,-0.002431998941275202
-0.18284479179147425,0.01926669912862351,-0.16357809266285075,-0.2726482416017434,0.2271828367777408,-0.0454654048240026,-0.0027255893099130436,-0.002431998941275202
-0.18284479179147425,0.01926669912862351,-0.16357809266285075,-0.2726482416017434,0.2271828367777408,-0.0454654048240026,-0.0027255893099130436,-0.002431998941275202
-0.19027843742235984,0.01965587115671559,-0.17062256626564426,-0.27527763009088624,0.23196153313568663,-0.04331609695519961,-0.0037617623494788487,-0.0030740368168719855
-0.19027843742235984,0.01965587115671559,-0.17062256626564426,-0.27527763009088624,0.23196153313568663,-0.04331609695519961,-0.0037617623494788487,-0.0030740368168719855
-0.19027843742235984,0.01965587115671559,-0.17062256626564426,-0.27527763009088624,0.23196153313568663,-0.04331609695519961,-0.0037617623494788487,-0.0030740368168719855
-0.19027843742235984,0.01965587115671559,-0.17062256626564426,-0.27527763009088624,0.23196153313568663,-0.04331609695519961,-0.0037617623494788487,-0.0030740368168719855
-0.19027843742235984,0.01965587115671559,-0.17062256626564426,-0.27527763009088624,0.23196153313568663,-0.04331609695519961,-0.0037617623494788487,-0.0030740368168719855
